n_ops, s_size, gpu, cpu
524288,20000,3.5008e-05,0.000648256
524288,20000,0.000205088,0.0006416
524288,20000,3.6928e-05,0.00065376
524288,20000,3.5616e-05,0.000485536
524288,20000,0.00012064,0.000501024
524288,20000,9.3088e-05,0.000454048
524288,200000,0.00030912,0.000655904
524288,200000,0.000193728,0.000463808
524288,200000,0.000163232,0.000567936
524288,200000,0.00016416,0.000449088
524288,200000,0.000192064,0.000435328
524288,200000,0.000163648,0.000668352
524288,200000,0.000161888,0.000434304
524288,200000,0.000164032,0.000453664
524288,200000,0.000161536,0.000430336
524288,200000,0.000163456,0.000422496
1048576,2000,2.8544e-05,0.000856384
1048576,2000,2.5728e-05,0.000907936
1048576,2000,2.56e-05,0.000859872
1048576,2000,2.5728e-05,0.0009072
1048576,2000,2.4096e-05,0.000904864
1048576,2000,2.4928e-05,0.000935136
1048576,2000,7.1552e-05,0.00093616
1048576,2000,2.5088e-05,0.001028192
1048576,2000,2.5504e-05,0.00091344
1048576,2000,2.4032e-05,0.001131552
1048576,20000,3.8176e-05,0.000868
1048576,20000,3.4848e-05,0.0010496
1048576,20000,3.6448e-05,0.000878336
1048576,20000,3.552e-05,0.000876352
1048576,20000,0.000149056,0.000907808
1048576,20000,3.6096e-05,0.00090752
1048576,20000,3.4208e-05,0.000989152
1048576,20000,3.6704e-05,0.000899488
1048576,20000,3.4016e-05,0.001126496
1048576,20000,3.4592e-05,0.001214816
1048576,200000,0.000269728,0.000936512
1048576,200000,0.000180736,0.001008544
1048576,200000,0.000178944,0.000854816
1048576,200000,0.000164864,0.000908448
1048576,200000,0.000163072,0.001062816
1048576,200000,0.000164352,0.00087184
1048576,200000,0.000162752,0.000912448
1048576,200000,0.000165216,0.000859168
1048576,200000,0.000168768,0.000957056
1048576,200000,0.000163328,0.00106544
2097152,2000,3.0784e-05,0.002164288
2097152,2000,2.7232e-05,0.00212
2097152,2000,2.6272e-05,0.001808416
2097152,2000,2.4608e-05,0.002452896
2097152,2000,2.5056e-05,0.001775072
2097152,2000,2.5856e-05,0.002063328
2097152,2000,2.6272e-05,0.001795712
2097152,2000,4.8224e-05,0.002092032
2097152,2000,2.5888e-05,0.002455072
2097152,2000,2.6176e-05,0.001763456
2097152,20000,3.7184e-05,0.001948736
2097152,20000,3.6896e-05,0.002308224
2097152,20000,0.000443456,0.002059264
2097152,20000,7.7248e-05,0.001814944
2097152,20000,3.6192e-05,0.001734912
2097152,20000,3.504e-05,0.001780672
2097152,20000,3.6672e-05,0.00170912
2097152,20000,3.344e-05,0.001874816
2097152,20000,3.4336e-05,0.002060192
2097152,20000,3.5136e-05,0.00210704
2097152,200000,0.000298752,0.001765216
2097152,200000,0.000222496,0.001779104
2097152,200000,0.000225056,0.001734944
2097152,200000,0.000166176,0.001972992
2097152,200000,0.000170272,0.001937152
2097152,200000,0.000165056,0.001945088
2097152,200000,0.000162176,0.001822848
2097152,200000,0.000218752,0.001947808
2097152,200000,0.00016704,0.001812992
2097152,200000,0.000164352,0.002226176
4194304,2000,3.3408e-05,0.00403344
4194304,2000,2.8896e-05,0.003897344
4194304,2000,2.7072e-05,0.003778848
4194304,2000,2.5056e-05,0.003663008
4194304,2000,2.544e-05,0.003825408
4194304,2000,2.592e-05,0.003947296
4194304,2000,6.3008e-05,0.004792928
4194304,2000,0.000102304,0.004010016
4194304,2000,5.3056e-05,0.004260544
4194304,2000,0.000101984,0.004253088
4194304,20000,9.4176e-05,0.004391104
4194304,20000,4.1376e-05,0.004790112
4194304,20000,3.776e-05,0.004326272
4194304,20000,4.1344e-05,0.00390096
4194304,20000,4.3136e-05,0.004088704
4194304,20000,4.0128e-05,0.003969536
4194304,20000,4.768e-05,0.003998144
4194304,20000,4.8032e-05,0.0044344
4194304,20000,4.7232e-05,0.004503616
4194304,20000,9.936e-05,0.004517504
4194304,200000,0.000346944,0.004125056
4194304,200000,0.000212512,0.003979712
4194304,200000,0.000166784,0.003824896
4194304,200000,0.000221088,0.004133696
4194304,200000,0.000168832,0.00481552
4194304,200000,0.000206016,0.003884736
4194304,200000,0.000165984,0.003781856
4194304,200000,0.000220704,0.003939488
